ticker,ok,history_rows,dividend_rows,financial_rows,indicator_rows,price,market_cap,message,error
PETR4,True,2490,61,9,21,41.93000030517578,572909944832.0,,
PETR3,True,2490,50,9,17,47.150001525878906,607703793664.0,,
VALE3,True,2490,40,9,19,76.66000366210938,326246793216.0,,
ITUB4,True,2490,274,9,19,42.380001068115234,467106955264.0,,
ITUB3,True,2490,279,9,20,45.209999084472656,498275647488.0,,
BBAS3,True,2490,129,9,19,21.049999237060547,120171773952.0,,
BBDC4,True,2491,273,10,19,18.049999237060547,196594712576.0,,
BBDC3,True,2491,267,10,19,15.75,178725486592.0,,
BBSE3,True,2490,28,9,14,41.66999816894531,80891822080.0,,
WEGE3,True,2490,108,9,19,48.79999923706055,204756484096.0,,
ABEV3,True,2490,54,9,20,15.84000015258789,244772274176.0,,
TAEE11,True,2490,59,9,19,40.060001373291016,41402011648.0,,
EGIE3,True,2490,54,10,20,29.829999923706055,42250661888.0,,
CSMG3,True,2490,67,9,17,63.709999084472656,24157648896.0,,
RANI3,True,2490,47,9,18,8.390000343322754,1928828416.0,,
CMIG4,True,2490,52,10,17,11.25,32182671360.0,,
CPLE6,False,,,,,,,Sem histórico retornado pelo Yahoo/yfinance e sem fallback útil na brapi.dev.,
KLBN11,True,2490,47,9,13,18.639999389648438,132456980480.0,,
SUZB3,True,2490,22,10,17,42.84000015258789,52885413888.0,,
RENT3,True,2490,87,9,20,39.20000076293945,43300904960.0,,
MGLU3,True,2490,17,9,14,4.789999961853027,3715403776.0,,
LREN3,True,2490,78,9,19,13.670000076293945,13140741120.0,,
RAIL3,True,2490,5,9,11,13.989999771118164,25961213952.0,,
B3SA3,True,2490,83,9,19,15.550000190734863,77723541504.0,,
ALPA4,True,2490,43,9,18,12.4399995803833,8449279488.0,,
ASAI3,True,1356,8,9,6,8.829999923706055,11817907200.0,,
AURE3,True,1088,5,9,5,11.15999984741211,11658127360.0,,
AZUL4,False,,,,,,,Sem histórico retornado pelo Yahoo/yfinance e sem fallback útil na brapi.dev.,
BEEF3,True,2490,13,9,13,3.609999895095825,3578025728.0,,
BPAC11,True,2351,23,9,10,56.810001373291016,191424708608.0,,
BRAP4,True,2490,34,9,18,22.0,8648125440.0,,
MBRF3,True,2490,11,9,14,16.770000457763672,23185813504.0,,
BRKM5,True,2490,16,9,19,5.869999885559082,4678204416.0,,
BRSR6,True,2490,89,9,17,14.380000114440918,5881052672.0,,
CCRO3,False,,,,,,,Sem histórico retornado pelo Yahoo/yfinance e sem fallback útil na brapi.dev.,
CMIG3,True,2490,55,10,19,16.43000030517578,47001006080.0,,
