ticker,ok,history_rows,dividend_rows,financial_rows,indicator_rows,price,market_cap,message,error
MXRF11,True,2490,53,0,11,9.350000381469727,4352930816.0,,
KNCR11,True,2490,54,0,11,106.0199966430664,8202083328.0,,
CPTS11,True,2194,55,0,10,7.510000228881836,2460901888.0,,
HGLG11,True,2490,54,0,11,147.0,4987046400.0,,
XPML11,True,1535,53,0,7,105.27999877929688,5911334912.0,,
VISC11,True,2177,52,0,10,103.9000015258789,3001061376.0,,
KNSC11,True,1112,52,0,5,8.979999542236328,1819501952.0,,
RBRR11,True,2049,51,0,9,75.37000274658203,,,
HGRU11,True,1991,51,0,9,122.68000030517578,2844286208.0,,
BTLG11,True,2490,54,0,11,101.0,4356731904.0,,
XPLG11,True,1535,50,0,7,91.0999984741211,3658234112.0,,
KNRI11,True,2490,54,0,11,152.08999633789062,4289553664.0,,
IRDM11,True,1,0,0,1,58.5,2131378944.0,,
VGIR11,True,1990,51,0,9,9.470000267028809,1096728320.0,,
RZTR11,True,627,30,0,3,85.69999694824219,1633501568.0,,
TRXF11,True,1625,52,0,7,89.37999725341797,2905874432.0,,
HSML11,True,1733,52,0,8,83.94999694824219,1738348160.0,,
MALL11,False,,,,,,,Sem histórico retornado pelo Yahoo/yfinance e sem fallback útil na brapi.dev.,
BCFF11,False,,,,,,,Sem histórico retornado pelo Yahoo/yfinance e sem fallback útil na brapi.dev.,
RBRF11,True,2193,45,0,10,6.650000095367432,909771200.0,,
PVBI11,True,627,30,0,3,67.05000305175781,1830194304.0,,
BRCO11,True,1656,53,0,8,112.45999908447266,,,
HGCR11,True,2489,54,0,11,91.5,1395492864.0,,
RECR11,True,1284,49,0,6,79.95999908447266,2977393664.0,,
KNIP11,True,2194,54,0,10,89.70999908447266,7245474304.0,,
KNHY11,True,1981,52,0,9,98.91999816894531,2788781312.0,,
VILG11,True,1837,51,0,8,90.5,1365662848.0,,
RBRL11,True,1113,51,0,5,71.51000213623047,476451232.0,,
GGRC11,True,2194,52,0,10,9.960000038146973,1489491968.0,,
LVBI11,True,1584,51,0,7,100.29000091552734,,,
ALZR11,True,2131,51,0,9,9.989999771118164,1225730688.0,,
BCRI11,True,2194,54,0,10,59.0099983215332,374784000.0,,
BRCR11,True,2490,60,0,11,40.04999923706055,1065528064.0,,
DEVA11,True,625,29,0,3,19.049999237060547,261797072.0,,
HCTR11,True,1758,51,0,8,16.440000534057617,358426624.0,,
HGPO11,True,1784,34,0,8,153.4199981689453,,,
HGRE11,True,2489,54,0,11,116.22000122070312,1381969664.0,,
HSLG11,True,625,30,0,3,89.5199966430664,1132949504.0,,
JSRE11,True,2490,55,0,11,58.66999816894531,1199520768.0,,
KFOF11,True,1851,52,0,8,77.6500015258789,540822976.0,,
KNCA11,True,1135,52,0,5,88.87999725341797,,,
MCCI11,True,1653,52,0,8,92.62000274658203,1574059776.0,,
OUJP11,True,2193,54,0,10,71.1500015258789,230919264.0,,
RBRP11,True,1979,52,0,9,45.61000061035156,,,
RBVA11,True,1806,50,0,8,8.8100004196167,24620418.0,,
RECT11,True,1808,51,0,8,35.380001068115234,27075160.0,,
TEPP11,True,1556,51,0,7,7.699999809265137,384531168.0,,
URPR11,True,628,30,0,3,18.920000076293945,218954480.0,,
VINO11,True,1661,51,0,8,4.46999979019165,367748768.0,,
VRTA11,True,2490,53,0,11,72.30000305175781,1121251328.0,,
XPIN11,True,1535,52,0,7,62.040000915527344,443612192.0,,
XPPR11,False,,,,,,,Sem histórico retornado pelo Yahoo/yfinance e sem fallback útil na brapi.dev.,
