ticker,ok,history_rows,dividend_rows,financial_rows,indicator_rows,price,market_cap,message,error
MXRF11,True,2492,53,0,11,9.630000114440918,4435844096.0,,
KNCR11,True,2492,54,0,11,106.5,8172157440.0,,
CPTS11,True,2188,55,0,10,7.53000020980835,2474044416.0,,
HGLG11,True,2492,54,0,11,147.75999450683594,4992452096.0,,
XPML11,True,1529,53,0,7,104.69999694824219,5939700224.0,,
VISC11,True,2171,52,0,10,105.41999816894531,3039115264.0,,
KNSC11,True,1106,52,0,5,9.100000381469727,1840041728.0,,
RBRR11,True,2044,51,0,9,75.72000122070312,,,
HGRU11,True,1985,51,0,9,125.5999984741211,2921032960.0,,
BTLG11,True,2492,54,0,11,100.81999969482422,4370604032.0,,
XPLG11,True,1529,50,0,7,91.43000030517578,3658634240.0,,
KNRI11,True,2492,54,0,11,155.17999267578125,4376704000.0,,
IRDM11,True,1,0,0,1,58.5,2131378944.0,,
VGIR11,True,1984,51,0,9,9.350000381469727,1078276608.0,,
RZTR11,True,621,30,0,3,86.8499984741211,1637271808.0,,
TRXF11,True,1619,51,0,7,91.0199966430664,2957538560.0,,
HSML11,True,1727,52,0,8,86.31999969482422,1796195968.0,,
MALL11,False,,,,,,,Sem histórico retornado pelo Yahoo/yfinance e sem fallback útil na brapi.dev.,
BCFF11,False,,,,,,,Sem histórico retornado pelo Yahoo/yfinance e sem fallback útil na brapi.dev.,
RBRF11,True,2188,45,0,10,6.650000095367432,909771200.0,,
PVBI11,True,621,30,0,3,70.76000213623047,1919723648.0,,
BRCO11,True,1650,53,0,8,113.66999816894531,,,
HGCR11,True,2492,54,0,11,92.86000061035156,1431725312.0,,
RECR11,True,1278,49,0,6,80.30000305175781,2994548480.0,,
KNIP11,True,2188,54,0,10,90.54000091552734,7250278912.0,,
KNHY11,True,1976,52,0,9,99.63999938964844,2806809856.0,,
VILG11,True,1831,51,0,8,93.23999786376953,1398357120.0,,
RBRL11,True,1107,51,0,5,71.0999984741211,475448192.0,,
GGRC11,True,2188,52,0,10,9.90999984741211,1510835584.0,,
LVBI11,True,1578,51,0,7,103.3499984741211,,,
ALZR11,True,2125,51,0,9,9.989999771118164,1225730688.0,,
BCRI11,True,2188,53,0,10,59.97999954223633,375347232.0,,
BRCR11,True,2492,60,0,11,39.220001220703125,1044750336.0,,
DEVA11,True,619,29,0,3,18.399999618530273,258426304.0,,
HCTR11,True,1753,51,0,8,16.209999084472656,357984928.0,,
HGPO11,True,1779,34,0,8,153.4199981689453,,,
HGRE11,True,2492,54,0,11,118.58999633789062,1401468928.0,,
HSLG11,True,619,30,0,3,91.04000091552734,1152572544.0,,
JSRE11,True,2492,55,0,11,59.279998779296875,1231087232.0,,
KFOF11,True,1845,52,0,8,78.0999984741211,547837504.0,,
KNCA11,True,1128,52,0,5,89.91000366210938,,,
MCCI11,True,1647,52,0,8,94.0,1594242304.0,,
OUJP11,True,2188,54,0,10,73.4000015258789,238724992.0,,
RBRP11,True,1973,52,0,9,45.209999084472656,,,
RBVA11,True,1800,50,0,8,8.930000305175781,25098212.0,,
RECT11,True,1802,51,0,8,35.4900016784668,27556566.0,,
TEPP11,True,1550,51,0,7,7.929999828338623,393462208.0,,
URPR11,True,622,30,0,3,19.149999618530273,224704080.0,,
VINO11,True,1655,51,0,8,4.610000133514404,381829248.0,,
VRTA11,True,2492,53,0,11,73.81999969482422,1151032704.0,,
XPIN11,True,1529,52,0,7,62.040000915527344,443612192.0,,
XPPR11,False,,,,,,,Sem histórico retornado pelo Yahoo/yfinance e sem fallback útil na brapi.dev.,
