ticker,ok,history_rows,dividend_rows,financial_rows,indicator_rows,price,market_cap,message,error
MXRF11,True,2489,54,0,11,9.430000305175781,4343718400.0,,
KNCR11,True,2489,55,0,11,106.69999694824219,8172157440.0,,
CPTS11,True,2195,55,0,10,7.460000038146973,2451045120.0,,
HGLG11,True,2489,55,0,11,147.99000549316406,4975220736.0,,
XPML11,True,1536,53,0,7,104.4000015258789,5922681344.0,,
VISC11,True,2178,53,0,10,103.94999694824219,2993277696.0,,
KNSC11,True,1113,53,0,5,8.979999542236328,1819501952.0,,
RBRR11,True,2051,51,0,9,76.30000305175781,,,
HGRU11,True,1992,52,0,9,121.61000061035156,2779267584.0,,
BTLG11,True,2489,54,0,11,100.80999755859375,4344160256.0,,
XPLG11,True,1536,51,0,7,91.11000061035156,3634625024.0,,
KNRI11,True,2489,55,0,11,152.24000549316406,4315501056.0,,
IRDM11,True,1,0,0,1,58.5,2131378944.0,,
VGIR11,True,1991,51,0,9,9.569999694824219,1097881600.0,,
RZTR11,True,628,31,0,3,86.2300033569336,1608051712.0,,
TRXF11,True,1626,52,0,7,89.1500015258789,2742758144.0,,
HSML11,True,1734,53,0,8,83.91000366210938,1738972416.0,,
MALL11,False,,,,,,,Sem histórico retornado pelo Yahoo/yfinance e sem fallback útil na brapi.dev.,
BCFF11,False,,,,,,,Sem histórico retornado pelo Yahoo/yfinance e sem fallback útil na brapi.dev.,
RBRF11,True,2195,45,0,10,6.650000095367432,909771200.0,,
PVBI11,True,628,31,0,3,66.75,1777019392.0,,
BRCO11,True,1657,54,0,8,113.9800033569336,,,
HGCR11,True,2489,55,0,11,90.94000244140625,1397959680.0,,
RECR11,True,1285,49,0,6,78.93000030517578,2931151872.0,,
KNIP11,True,2195,55,0,10,90.0,7207036416.0,,
KNHY11,True,1983,53,0,9,99.08999633789062,2770752768.0,,
VILG11,True,1838,52,0,8,90.1500015258789,1367012608.0,,
RBRL11,True,1114,52,0,5,71.36000061035156,481466528.0,,
GGRC11,True,2195,53,0,10,9.670000076293945,1466623488.0,,
LVBI11,True,1585,52,0,7,101.4000015258789,,,
ALZR11,True,2132,51,0,9,9.920000076293945,1214688000.0,,
BCRI11,True,2195,54,0,10,59.060001373291016,369589984.0,,
BRCR11,True,2489,60,0,11,40.189998626708984,1067659200.0,,
DEVA11,True,626,29,0,3,18.520000457763672,258426304.0,,
HCTR11,True,1760,51,0,8,16.25,358205760.0,,
HGPO11,True,1786,34,0,8,153.4199981689453,,,
HGRE11,True,2489,55,0,11,117.05999755859375,1379842560.0,,
HSLG11,True,626,31,0,3,88.16000366210938,1092817024.0,,
JSRE11,True,2489,56,0,11,58.540000915527344,1199313152.0,,
KFOF11,True,1852,53,0,8,77.5999984741211,541243840.0,,
KNCA11,True,1137,53,0,5,89.0999984741211,,,
MCCI11,True,1654,52,0,8,93.26000213623047,1581861376.0,,
OUJP11,True,2195,55,0,10,70.93000030517578,230138704.0,,
RBRP11,True,1980,52,0,9,42.779998779296875,,,
RBVA11,True,1807,51,0,8,8.930000305175781,25070106.0,,
RECT11,True,1809,51,0,8,34.880001068115234,26974222.0,,
TEPP11,True,1557,52,0,7,7.690000057220459,379569472.0,,
URPR11,True,629,31,0,3,18.809999465942383,214730272.0,,
VINO11,True,1662,52,0,8,4.480000019073486,371061792.0,,
VRTA11,True,2489,54,0,11,71.18000030517578,1100981120.0,,
XPIN11,True,1536,52,0,7,62.040000915527344,443612192.0,,
XPPR11,False,,,,,,,Sem histórico retornado pelo Yahoo/yfinance e sem fallback útil na brapi.dev.,
