ticker,ok,history_rows,dividend_rows,financial_rows,indicator_rows,price,market_cap,message,error
MXRF11,True,2492,54,0,11,9.460000038146973,4357537280.0,,
KNCR11,True,2492,55,0,11,106.63999938964844,8182900224.0,,
CPTS11,True,2198,55,0,10,7.53000020980835,2474044416.0,,
HGLG11,True,2492,55,0,11,147.0,4966773760.0,,
XPML11,True,1539,53,0,7,104.55000305175781,5931191296.0,,
VISC11,True,2181,53,0,10,103.93000030517578,2996160512.0,,
KNSC11,True,1116,53,0,5,9.0,1823554304.0,,
RBRR11,True,2054,51,0,9,76.33000183105469,,,
HGRU11,True,1995,52,0,9,119.25,2773353472.0,,
BTLG11,True,2492,54,0,11,100.7300033569336,4366703104.0,,
XPLG11,True,1539,51,0,7,91.95999908447266,3679842560.0,,
KNRI11,True,2492,55,0,11,154.11000061035156,4346525696.0,,
IRDM11,True,1,0,0,1,58.5,2131378944.0,,
VGIR11,True,1994,51,0,9,9.600000381469727,1107107584.0,,
RZTR11,True,631,31,0,3,85.55000305175781,1612764672.0,,
TRXF11,True,1629,52,0,7,85.9000015258789,2791173120.0,,
HSML11,True,1737,53,0,8,83.52999877929688,1738140032.0,,
MALL11,False,,,,,,,Sem histórico retornado pelo Yahoo/yfinance e sem fallback útil na brapi.dev.,
BCFF11,False,,,,,,,Sem histórico retornado pelo Yahoo/yfinance e sem fallback útil na brapi.dev.,
RBRF11,True,2197,45,0,10,6.650000095367432,909771200.0,,
PVBI11,True,631,31,0,3,67.22000122070312,1823683200.0,,
BRCO11,True,1660,54,0,8,113.69999694824219,,,
HGCR11,True,2492,55,0,11,91.52999877929688,1411219200.0,,
RECR11,True,1288,49,0,6,78.51000213623047,2927795712.0,,
KNIP11,True,2198,55,0,10,90.37000274658203,7236665856.0,,
KNHY11,True,1986,53,0,9,97.80999755859375,2755259392.0,,
VILG11,True,1841,52,0,8,90.69999694824219,1360263808.0,,
RBRL11,True,1117,52,0,5,71.80000305175781,480129120.0,,
GGRC11,True,2198,53,0,10,9.680000305175781,1475770880.0,,
LVBI11,True,1588,52,0,7,102.4000015258789,,,
ALZR11,True,2135,51,0,9,9.920000076293945,1217142016.0,,
BCRI11,True,2198,54,0,10,58.689998626708984,367274560.0,,
BRCR11,True,2492,60,0,11,39.61000061035156,1055139200.0,,
DEVA11,True,629,29,0,3,18.40999984741211,258566752.0,,
HCTR11,True,1763,51,0,8,16.229999542236328,358426624.0,,
HGPO11,True,1788,34,0,8,153.4199981689453,,,
HGRE11,True,2492,55,0,11,117.30000305175781,1386224128.0,,
HSLG11,True,629,31,0,3,86.36000061035156,1093323520.0,,
JSRE11,True,2492,56,0,11,57.650001525878906,1197236480.0,,
KFOF11,True,1855,53,0,8,77.45999908447266,543348224.0,,
KNCA11,True,1138,53,0,5,89.5,,,
MCCI11,True,1657,52,0,8,93.4000015258789,1584066304.0,,
OUJP11,True,2198,55,0,10,70.58000183105469,229553264.0,,
RBRP11,True,1983,52,0,9,42.66999816894531,,,
RBVA11,True,1810,51,0,8,8.899999618530273,25013894.0,,
RECT11,True,1812,51,0,8,34.52000045776367,26803400.0,,
TEPP11,True,1560,52,0,7,7.699999809265137,382050304.0,,
URPR11,True,632,31,0,3,18.290000915527344,214612944.0,,
VINO11,True,1665,52,0,8,4.449999809265137,368576992.0,,
VRTA11,True,2492,54,0,11,70.29000091552734,1095991552.0,,
XPIN11,True,1538,52,0,7,62.040000915527344,443612192.0,,
XPPR11,False,,,,,,,Sem histórico retornado pelo Yahoo/yfinance e sem fallback útil na brapi.dev.,
