ticker,ok,history_rows,dividend_rows,financial_rows,indicator_rows,price,market_cap,message,error
PETR4,True,2491,61,9,21,42.84000015258789,585343762432.0,,
PETR3,True,2491,50,9,17,48.54999923706055,625747951616.0,,
VALE3,True,2491,38,9,19,76.08999633789062,323820978176.0,,
ITUB4,True,2491,273,9,19,42.7400016784668,471074832384.0,,
ITUB3,True,2491,278,9,20,45.34000015258789,499708428288.0,,
BBAS3,True,2491,129,9,19,21.190000534057617,120971026432.0,,
BBDC4,True,2491,266,9,19,18.389999389648438,194395389952.0,,
BBDC3,True,2491,266,9,19,15.989999771118164,181448916992.0,,
BBSE3,True,2491,28,9,14,40.86000061035156,79319416832.0,,
WEGE3,True,2491,108,9,19,46.81999969482422,196448747520.0,,
ABEV3,True,2491,53,9,20,15.960000038146973,246626598912.0,,
TAEE11,True,2491,59,9,19,39.869998931884766,41205645312.0,,
EGIE3,True,2491,54,10,20,29.989999771118164,42477281280.0,,
CSMG3,True,2491,67,9,17,63.5,24078020608.0,,
RANI3,True,2491,47,9,18,8.029999732971191,1846065664.0,,
CMIG4,True,2491,52,10,17,11.229999542236328,32125456384.0,,
CPLE6,False,,,,,,,Sem histórico retornado pelo Yahoo/yfinance e sem fallback útil na brapi.dev.,
KLBN11,True,2491,47,9,13,18.049999237060547,128264404992.0,,
SUZB3,True,2491,22,10,17,42.72999954223633,52749619200.0,,
RENT3,True,2491,87,9,20,38.22999954223633,42229428224.0,,
MGLU3,True,2491,17,9,14,5.019999980926514,3893805312.0,,
LREN3,True,2491,78,9,19,13.520000457763672,12996549632.0,,
RAIL3,True,2491,5,9,11,14.279999732971191,26499364864.0,,
B3SA3,True,2491,83,9,19,15.630000114440918,78123409408.0,,
ALPA4,True,2491,43,9,18,11.729999542236328,7967045632.0,,
ASAI3,True,1353,8,9,6,8.40999984741211,11255786496.0,,
AURE3,True,1085,5,9,5,11.199999809265137,11699912704.0,,
AZUL4,False,,,,,,,Sem histórico retornado pelo Yahoo/yfinance e sem fallback útil na brapi.dev.,
BEEF3,True,2491,13,9,13,3.5899999141693115,3558202880.0,,
BPAC11,True,2348,23,9,10,56.619998931884766,190784487424.0,,
BRAP4,True,2491,34,9,18,21.729999542236328,8541988864.0,,
MBRF3,True,2491,11,9,14,17.959999084472656,24831078400.0,,
BRKM5,True,2491,16,9,19,5.929999828338623,4726022144.0,,
BRSR6,True,2491,89,9,17,14.100000381469727,5766540288.0,,
CCRO3,False,,,,,,,Sem histórico retornado pelo Yahoo/yfinance e sem fallback útil na brapi.dev.,
CMIG3,True,2491,55,10,19,16.15999984741211,46228619264.0,,
CMIN3,True,1358,17,9,6,5.71999979019165,30901929984.0,,
COGN3,True,2491,30,9,14,2.309999942779541,4622839296.0,,
CPFE3,True,2491,26,9,18,46.09000015258789,53107408896.0,,
CPLE3,True,2491,36,9,21,14.890000343322754,44217499648.0,,
