ticker,ok,history_rows,dividend_rows,financial_rows,indicator_rows,price,market_cap,message,error
MXRF11,True,2490,53,0,11,9.630000114440918,4422025216.0,,
KNCR11,True,2490,54,0,11,106.86000061035156,8232777216.0,,
CPTS11,True,2191,55,0,10,7.449999809265137,2460901888.0,,
HGLG11,True,2490,54,0,11,146.89999389648438,4980964352.0,,
XPML11,True,1532,53,0,7,104.83999633789062,5944239104.0,,
VISC11,True,2174,52,0,10,105.33999633789062,3036520704.0,,
KNSC11,True,1110,52,0,5,9.100000381469727,1843816192.0,,
RBRR11,True,2047,51,0,9,75.06999969482422,,,
HGRU11,True,1988,51,0,9,123.63999938964844,2867107328.0,,
BTLG11,True,2490,54,0,11,100.20999908447266,4372338176.0,,
XPLG11,True,1532,50,0,7,91.75,3683444224.0,,
KNRI11,True,2490,54,0,11,155.83999633789062,4415625728.0,,
IRDM11,True,1,0,0,1,58.5,2131378944.0,,
VGIR11,True,1987,51,0,9,9.430000305175781,1087502464.0,,
RZTR11,True,624,30,0,3,86.58999633789062,1653295744.0,,
TRXF11,True,1622,51,0,7,91.0999984741211,2960138240.0,,
HSML11,True,1730,52,0,8,86.12999725341797,1821166208.0,,
MALL11,False,,,,,,,Sem histórico retornado pelo Yahoo/yfinance e sem fallback útil na brapi.dev.,
BCFF11,False,,,,,,,Sem histórico retornado pelo Yahoo/yfinance e sem fallback útil na brapi.dev.,
RBRF11,True,2191,45,0,10,6.650000095367432,909771200.0,,
PVBI11,True,624,30,0,3,69.19999694824219,1880384896.0,,
BRCO11,True,1653,53,0,8,113.72000122070312,,,
HGCR11,True,2490,54,0,11,93.12999725341797,1435888128.0,,
RECR11,True,1281,49,0,6,79.87000274658203,2982615040.0,,
KNIP11,True,2191,54,0,10,91.12999725341797,7271899648.0,,
KNHY11,True,1979,52,0,9,99.7699966430664,2814978816.0,,
VILG11,True,1834,51,0,8,93.2300033569336,1385459456.0,,
RBRL11,True,1110,51,0,5,71.66999816894531,479259776.0,,
GGRC11,True,2191,52,0,10,9.899999618530273,1521507456.0,,
LVBI11,True,1581,51,0,7,102.26000213623047,,,
ALZR11,True,2128,51,0,9,9.899999618530273,1222049792.0,,
BCRI11,True,2191,53,0,10,59.61000061035156,373282144.0,,
BRCR11,True,2490,60,0,11,39.95000076293945,1067925504.0,,
DEVA11,True,622,29,0,3,18.850000381469727,264886976.0,,
HCTR11,True,1756,51,0,8,16.34000015258789,359972512.0,,
HGPO11,True,1782,34,0,8,153.4199981689453,,,
HGRE11,True,2490,54,0,11,117.80000305175781,1400641664.0,,
HSLG11,True,622,30,0,3,90.16000366210938,1141811584.0,,
JSRE11,True,2490,55,0,11,58.79999923706055,1223818624.0,,
KFOF11,True,1848,52,0,8,78.55000305175781,555202816.0,,
KNCA11,True,1132,52,0,5,90.87000274658203,,,
MCCI11,True,1650,52,0,8,94.22000122070312,1604418304.0,,
OUJP11,True,2191,54,0,10,71.97000122070312,237749264.0,,
RBRP11,True,1976,52,0,9,45.599998474121094,,,
RBVA11,True,1803,50,0,8,8.890000343322754,25013894.0,,
RECT11,True,1805,51,0,8,35.099998474121094,27509978.0,,
TEPP11,True,1553,51,0,7,7.860000133514404,391973696.0,,
URPR11,True,625,30,0,3,19.010000228881836,226464160.0,,
VINO11,True,1658,51,0,8,4.599999904632568,380172704.0,,
VRTA11,True,2490,53,0,11,73.72000122070312,1146043136.0,,
XPIN11,True,1532,52,0,7,62.040000915527344,443612192.0,,
XPPR11,False,,,,,,,Sem histórico retornado pelo Yahoo/yfinance e sem fallback útil na brapi.dev.,
