ticker,ok,history_rows,dividend_rows,financial_rows,indicator_rows,price,market_cap,message,error
MXRF11,True,2491,53,0,11,,,,
KNCR11,True,2491,54,0,11,,,,
CPTS11,True,2192,55,0,10,,,,
HGLG11,True,2491,54,0,11,,,,
XPML11,True,1533,53,0,7,,,,
VISC11,True,2175,52,0,10,,,,
KNSC11,True,1110,52,0,5,,,,
RBRR11,True,2048,51,0,9,,,,
HGRU11,True,1989,51,0,9,,,,
BTLG11,True,2491,54,0,11,,,,
XPLG11,True,1533,50,0,7,,,,
KNRI11,True,2491,54,0,11,,,,
IRDM11,True,1,0,0,1,58.5,2131378944.0,,
VGIR11,True,1988,51,0,9,,,,
RZTR11,True,625,30,0,3,,,,
TRXF11,True,1623,51,0,7,,,,
HSML11,True,1731,52,0,8,,,,
MALL11,False,,,,,,,Sem histórico retornado pelo Yahoo/yfinance e sem fallback útil na brapi.dev.,
BCFF11,False,,,,,,,Sem histórico retornado pelo Yahoo/yfinance e sem fallback útil na brapi.dev.,
RBRF11,True,2192,45,0,10,6.650000095367432,909771200.0,,
PVBI11,True,625,30,0,3,,,,
BRCO11,True,1654,53,0,8,,,,
HGCR11,True,2491,54,0,11,,,,
RECR11,True,1282,49,0,6,,,,
KNIP11,True,2192,54,0,10,,,,
KNHY11,True,1980,52,0,9,,,,
VILG11,True,1835,51,0,8,,,,
RBRL11,True,1111,51,0,5,,,,
GGRC11,True,2192,52,0,10,,,,
LVBI11,True,1582,51,0,7,,,,
ALZR11,True,2129,51,0,9,,,,
BCRI11,True,2192,53,0,10,,,,
BRCR11,True,2491,60,0,11,,,,
DEVA11,True,623,29,0,3,,,,
HCTR11,True,1757,51,0,8,,,,
HGPO11,True,1783,34,0,8,153.4199981689453,,,
HGRE11,True,2491,54,0,11,,,,
HSLG11,True,623,30,0,3,,,,
JSRE11,True,2491,55,0,11,,,,
KFOF11,True,1849,52,0,8,,,,
KNCA11,True,1133,52,0,5,90.23999786376953,,,
MCCI11,True,1651,52,0,8,,,,
OUJP11,True,2192,54,0,10,,,,
RBRP11,True,1977,52,0,9,,,,
RBVA11,True,1804,50,0,8,,,,
RECT11,True,1806,51,0,8,,,,
TEPP11,True,1554,51,0,7,,,,
URPR11,True,626,30,0,3,,,,
VINO11,True,1659,51,0,8,,,,
VRTA11,True,2491,53,0,11,,,,
XPIN11,True,1533,52,0,7,62.040000915527344,443612192.0,,
XPPR11,False,,,,,,,Sem histórico retornado pelo Yahoo/yfinance e sem fallback útil na brapi.dev.,
