ticker,ok,history_rows,dividend_rows,financial_rows,indicator_rows,price,market_cap,message,error
MXRF11,True,2490,53,0,11,9.600000381469727,4458875392.0,,
KNCR11,True,2490,54,0,11,106.5999984741211,8256564736.0,,
CPTS11,True,2189,55,0,10,7.449999809265137,2464187392.0,,
HGLG11,True,2490,54,0,11,147.0,4966773760.0,,
XPML11,True,1530,53,0,7,104.45999908447266,5922681344.0,,
VISC11,True,2172,52,0,10,105.41999816894531,3039980032.0,,
KNSC11,True,1107,52,0,5,9.069999694824219,1831953664.0,,
RBRR11,True,2045,51,0,9,75.94000244140625,,,
HGRU11,True,1986,51,0,9,125.19999694824219,2898246400.0,,
BTLG11,True,2490,54,0,11,99.87999725341797,4351096832.0,,
XPLG11,True,1530,50,0,7,91.41000366210938,3674640640.0,,
KNRI11,True,2490,54,0,11,154.9499969482422,4418163712.0,,
IRDM11,True,1,0,0,1,58.5,2131378944.0,,
VGIR11,True,1985,51,0,9,9.390000343322754,1086349184.0,,
RZTR11,True,622,30,0,3,87.29000091552734,1649714048.0,,
TRXF11,True,1620,51,0,7,91.37999725341797,2974435328.0,,
HSML11,True,1728,52,0,8,86.27999877929688,1802022272.0,,
MALL11,False,,,,,,,Sem histórico retornado pelo Yahoo/yfinance e sem fallback útil na brapi.dev.,
BCFF11,False,,,,,,,Sem histórico retornado pelo Yahoo/yfinance e sem fallback útil na brapi.dev.,
RBRF11,True,2189,45,0,10,6.650000095367432,909771200.0,,
PVBI11,True,622,30,0,3,70.0,1899104768.0,,
BRCO11,True,1651,53,0,8,114.12000274658203,,,
HGCR11,True,2490,54,0,11,93.48999786376953,1444676480.0,,
RECR11,True,1279,49,0,6,80.0999984741211,2977021184.0,,
KNIP11,True,2189,54,0,10,90.30000305175781,7255083520.0,,
KNHY11,True,1977,52,0,9,99.5199966430664,2815260672.0,,
VILG11,True,1832,51,0,8,92.5,1392508160.0,,
RBRL11,True,1108,51,0,5,71.30000305175781,479126080.0,,
GGRC11,True,2189,52,0,10,9.869999885559082,1507786624.0,,
LVBI11,True,1579,51,0,7,102.70999908447266,,,
ALZR11,True,2126,51,0,9,9.979999542236328,1218369024.0,,
BCRI11,True,2189,53,0,10,59.75,375409824.0,,
BRCR11,True,2490,60,0,11,40.060001373291016,1073519552.0,,
DEVA11,True,620,29,0,3,18.420000076293945,258426304.0,,
HCTR11,True,1754,51,0,8,16.25,355776544.0,,
HGPO11,True,1780,34,0,8,153.4199981689453,,,
HGRE11,True,2490,54,0,11,119.13999938964844,1420850176.0,,
HSLG11,True,620,30,0,3,90.95999908447266,1153585408.0,,
JSRE11,True,2490,55,0,11,58.540000915527344,1216757760.0,,
KFOF11,True,1846,52,0,8,78.04000091552734,553659648.0,,
KNCA11,True,1130,52,0,5,89.69999694824219,,,
MCCI11,True,1648,52,0,8,93.73999786376953,1595938176.0,,
OUJP11,True,2189,54,0,10,72.23999786376953,233781360.0,,
RBRP11,True,1974,52,0,9,45.619998931884766,,,
RBVA11,True,1801,50,0,8,8.949999809265137,25126316.0,,
RECT11,True,1803,51,0,8,35.38999938964844,27447860.0,,
TEPP11,True,1551,51,0,7,7.860000133514404,390485184.0,,
URPR11,True,623,30,0,3,19.059999465942383,223530688.0,,
VINO11,True,1656,51,0,8,4.619999885559082,381829248.0,,
VRTA11,True,2490,53,0,11,73.6500015258789,1140585856.0,,
XPIN11,True,1530,52,0,7,62.040000915527344,443612192.0,,
XPPR11,False,,,,,,,Sem histórico retornado pelo Yahoo/yfinance e sem fallback útil na brapi.dev.,
