ticker,ok,history_rows,dividend_rows,financial_rows,indicator_rows,price,market_cap,message,error
MXRF11,True,2490,53,0,11,9.680000305175781,4435844096.0,,
KNCR11,True,2490,54,0,11,107.5999984741211,8199781376.0,,
CPTS11,True,2190,55,0,10,7.5,2447759616.0,,
HGLG11,True,2490,54,0,11,147.0,4963394560.0,,
XPML11,True,1531,53,0,7,104.4000015258789,5947642368.0,,
VISC11,True,2173,52,0,10,105.44999694824219,3036808960.0,,
KNSC11,True,1109,52,0,5,9.031474113464355,1829931648.0,,
RBRR11,True,2046,51,0,9,76.22000122070312,,,
HGRU11,True,1987,51,0,9,124.72000122070312,2873149184.0,,
BTLG11,True,2490,54,0,11,100.37000274658203,4344160256.0,,
XPLG11,True,1531,50,0,7,91.83000183105469,3671439360.0,,
KNRI11,True,2490,54,0,11,156.64999389648438,4395318784.0,,
IRDM11,True,1,0,0,1,58.5,2131378944.0,,
VGIR11,True,1986,51,0,9,9.420000076293945,1087502464.0,,
RZTR11,True,623,30,0,3,87.51000213623047,1632370304.0,,
TRXF11,True,1621,51,0,7,91.54000091552734,2960138240.0,,
HSML11,True,1729,52,0,8,86.5999984741211,1792242304.0,,
MALL11,False,,,,,,,Sem histórico retornado pelo Yahoo/yfinance e sem fallback útil na brapi.dev.,
BCFF11,False,,,,,,,Sem histórico retornado pelo Yahoo/yfinance e sem fallback útil na brapi.dev.,
RBRF11,True,2190,45,0,10,6.650000095367432,909771200.0,,
PVBI11,True,623,30,0,3,70.0,1877400576.0,,
BRCO11,True,1652,53,0,8,114.30000305175781,,,
HGCR11,True,2490,54,0,11,93.69999694824219,1435888128.0,,
RECR11,True,1280,49,0,6,79.83000183105469,2978512896.0,,
KNIP11,True,2190,54,0,10,90.5999984741211,7297524736.0,,
KNHY11,True,1978,52,0,9,99.94000244140625,2810471680.0,,
VILG11,True,1833,51,0,8,92.8499984741211,1398207232.0,,
RBRL11,True,1109,51,0,5,71.30000305175781,479259776.0,,
GGRC11,True,2190,52,0,10,9.890000343322754,1509310976.0,,
LVBI11,True,1580,51,0,7,102.5199966430664,,,
ALZR11,True,2127,51,0,9,9.930000305175781,1214688000.0,,
BCRI11,True,2190,53,0,10,59.9900016784668,373031808.0,,
BRCR11,True,2490,60,0,11,40.29999923706055,1064196160.0,,
DEVA11,True,621,29,0,3,18.399999618530273,264746528.0,,
HCTR11,True,1755,51,0,8,16.110000610351562,360855904.0,,
HGPO11,True,1781,34,0,8,153.4199981689453,,,
HGRE11,True,2490,54,0,11,120.2300033569336,1392132992.0,,
HSLG11,True,621,30,0,3,91.12000274658203,1141431808.0,,
JSRE11,True,2490,55,0,11,58.59000015258789,1221118848.0,,
KFOF11,True,1847,52,0,8,78.93000030517578,550994112.0,,
KNCA11,True,1131,52,0,5,89.69000244140625,,,
MCCI11,True,1649,52,0,8,94.0999984741211,1597973504.0,,
OUJP11,True,2190,54,0,10,71.87999725341797,234074080.0,,
RBRP11,True,1975,52,0,9,45.68000030517578,,,
RBVA11,True,1802,50,0,8,8.9399995803833,24985790.0,,
RECT11,True,1804,51,0,8,35.349998474121094,27253744.0,,
TEPP11,True,1552,51,0,7,7.869999885559082,389989024.0,,
URPR11,True,624,30,0,3,19.049999237060547,223061344.0,,
VINO11,True,1657,51,0,8,4.610000133514404,381000960.0,,
VRTA11,True,2490,53,0,11,73.1500015258789,1149473536.0,,
XPIN11,True,1531,52,0,7,62.040000915527344,443612192.0,,
XPPR11,False,,,,,,,Sem histórico retornado pelo Yahoo/yfinance e sem fallback útil na brapi.dev.,
