ticker,ok,history_rows,dividend_rows,financial_rows,indicator_rows,price,market_cap,message,error
MXRF11,True,2490,53,0,11,9.630000114440918,4422025216.0,,
KNCR11,True,2490,54,0,11,106.5,8179830784.0,,
CPTS11,True,2188,55,0,10,7.53000020980835,2447759616.0,,
HGLG11,True,2491,54,0,11,147.0,4966773760.0,,
XPML11,True,1530,53,0,7,104.45999908447266,5926085120.0,,
VISC11,True,2171,52,0,10,105.41999816894531,3039115264.0,,
KNSC11,True,1106,52,0,5,9.100000381469727,1833975552.0,,
RBRR11,True,2044,51,0,9,75.72000122070312,,,
HGRU11,True,1985,51,0,9,125.5999984741211,2909400576.0,,
BTLG11,True,2491,54,0,11,99.87999725341797,4329854464.0,,
XPLG11,True,1529,50,0,7,91.43000030517578,3657834240.0,,
KNRI11,True,2490,54,0,11,155.17999267578125,4370216960.0,,
IRDM11,True,1,0,0,1,58.5,2131378944.0,,
VGIR11,True,1984,51,0,9,9.350000381469727,1082889600.0,,
RZTR11,True,621,30,0,3,86.8499984741211,1645566720.0,,
TRXF11,True,1619,51,0,7,91.0199966430664,2969236224.0,,
HSML11,True,1727,52,0,8,86.31999969482422,1795363584.0,,
MALL11,False,,,,,,,Sem histórico retornado pelo Yahoo/yfinance e sem fallback útil na brapi.dev.,
BCFF11,False,,,,,,,Sem histórico retornado pelo Yahoo/yfinance e sem fallback útil na brapi.dev.,
RBRF11,True,2188,45,0,10,6.650000095367432,909771200.0,,
PVBI11,True,621,30,0,3,70.76000213623047,1899104768.0,,
BRCO11,True,1650,53,0,8,113.66999816894531,,,
HGCR11,True,2490,54,0,11,92.86000061035156,1441438720.0,,
RECR11,True,1278,49,0,6,80.30000305175781,2987089664.0,,
KNIP11,True,2188,54,0,10,90.54000091552734,7231060480.0,,
KNHY11,True,1976,52,0,9,99.63999938964844,2803429376.0,,
VILG11,True,1831,51,0,8,93.23999786376953,1387259136.0,,
RBRL11,True,1107,51,0,5,71.0999984741211,476785600.0,,
GGRC11,True,2188,52,0,10,9.90999984741211,1504737408.0,,
LVBI11,True,1578,51,0,7,103.3499984741211,,,
ALZR11,True,2126,51,0,9,9.979999542236328,1224503680.0,,
BCRI11,True,2188,53,0,10,59.97999954223633,373907904.0,,
BRCR11,True,2490,60,0,11,39.220001220703125,1067126400.0,,
DEVA11,True,619,29,0,3,18.399999618530273,258707200.0,,
HCTR11,True,1753,51,0,8,16.209999084472656,358868320.0,,
HGPO11,True,1779,34,0,8,153.4199981689453,,,
HGRE11,True,2490,54,0,11,118.58999633789062,1407968768.0,,
HSLG11,True,619,30,0,3,91.04000091552734,1151559808.0,,
JSRE11,True,2490,55,0,11,59.279998779296875,1215719424.0,,
KFOF11,True,1845,52,0,8,78.0999984741211,547416640.0,,
KNCA11,True,1129,52,0,5,90.0199966430664,,,
MCCI11,True,1647,52,0,8,94.0,1589832576.0,,
OUJP11,True,2188,54,0,10,73.4000015258789,234952208.0,,
RBRP11,True,1973,52,0,9,45.209999084472656,,,
RBVA11,True,1800,50,0,8,8.930000305175781,25154422.0,,
RECT11,True,1802,51,0,8,35.4900016784668,27478918.0,,
TEPP11,True,1550,51,0,7,7.929999828338623,389989024.0,,
URPR11,True,622,30,0,3,19.149999618530273,223648032.0,,
VINO11,True,1655,51,0,8,4.610000133514404,382657472.0,,
VRTA11,True,2490,53,0,11,73.81999969482422,1148382080.0,,
XPIN11,True,1529,52,0,7,62.040000915527344,443612192.0,,
XPPR11,False,,,,,,,Sem histórico retornado pelo Yahoo/yfinance e sem fallback útil na brapi.dev.,
